x	y	data
11.0	2.0	0.5074295401573181
12.0	2.0	0.5115962028503418
13.0	2.0	0.5216452479362488
14.0	2.0	0.5059589743614197
15.0	2.0	0.509145200252533
16.0	2.0	0.5022825002670288
17.0	2.0	0.0
18.0	2.0	0.44837239384651184
19.0	2.0	0.445676326751709
20.0	2.0	0.4471468925476074
21.0	2.0	0.45474493503570557
22.0	2.0	0.45842140913009644
23.0	2.0	0.45449984073638916
24.0	2.0	0.45964691042900085
25.0	2.0	0.44910767674446106
26.0	2.0	0.4623429775238037
27.0	2.0	0.4667547345161438
28.0	2.0	0.4630782902240753
29.0	2.0	0.45842140913009644
30.0	2.0	0.4623429775238037
31.0	2.0	0.46847042441368103
32.0	2.0	0.45817631483078003
33.0	2.0	0.4522939622402191
34.0	2.0	0.0
35.0	2.0	0.4525754451751709
36.0	2.0	0.46090877056121826
37.0	2.0	0.4420362412929535
38.0	2.0	0.45429113507270813
39.0	2.0	0.45625191926956177
40.0	2.0	0.4628695547580719
41.0	2.0	0.46581074595451355
42.0	2.0	0.4741440713405609
43.0	2.0	0.47144800424575806
44.0	2.0	0.46654602885246277
45.0	2.0	0.478555828332901
46.0	2.0	0.4788009226322174
47.0	2.0	0.48174211382865906
48.0	2.0	0.4780656397342682
49.0	2.0	0.4670362174510956
50.0	2.0	0.46458524465560913
51.0	2.0	0.0
52.0	2.0	0.39726755023002625
53.0	2.0	0.6318263411521912
54.0	2.0	0.6502087116241455
55.0	2.0	0.668100893497467
56.0	2.0	0.6698165535926819
57.0	2.0	0.654865562915802
58.0	2.0	0.5440812706947327
59.0	2.0	0.49089500308036804
60.0	2.0	0.498002827167511
61.0	2.0	0.5016793012619019
62.0	2.0	0.4931008815765381
63.0	2.0	0.5070714354515076
64.0	2.0	0.5009440183639526
65.0	2.0	0.48770871758461
66.0	2.0	0.48623812198638916
67.0	2.0	0.47520872950553894
1.0	3.0	0.4964001178741455
2.0	3.0	0.47801777720451355
3.0	3.0	0.48855698108673096
4.0	3.0	0.49419423937797546
5.0	3.0	0.4856158196926117
6.0	3.0	0.49443933367729187
7.0	3.0	0.49296873807907104
8.0	3.0	0.5086550116539001
9.0	3.0	0.5081648230552673
10.0	3.0	0.5081648230552673
11.0	3.0	0.511106014251709
12.0	3.0	0.5101256370544434
13.0	3.0	0.5057138204574585
14.0	3.0	0.49983149766921997
15.0	3.0	0.49983149766921997
16.0	3.0	0.4949295222759247
17.0	3.0	0.0
18.0	3.0	0.44445082545280457
19.0	3.0	0.4510684609413147
20.0	3.0	0.4476371109485626
21.0	3.0	0.44861748814582825
22.0	3.0	0.4466567039489746
23.0	3.0	0.45597043633461
24.0	3.0	0.47484299540519714
25.0	3.0	0.4657743573188782
26.0	3.0	0.45989200472831726
27.0	3.0	0.46552926301956177
28.0	3.0	0.4763135612010956
29.0	3.0	0.47410768270492554
30.0	3.0	0.467244952917099
31.0	3.0	0.46430376172065735
32.0	3.0	0.4567057192325592
33.0	3.0	0.44445082545280457
34.0	3.0	0.0
35.0	3.0	0.44546759128570557
36.0	3.0	0.45012447237968445
37.0	3.0	0.4574773907661438
38.0	3.0	0.44399702548980713
39.0	3.0	0.4533107280731201
40.0	3.0	0.45453622937202454
41.0	3.0	0.4528205394744873
42.0	3.0	0.47144800424575806
43.0	3.0	0.47733035683631897
44.0	3.0	0.48983034491539
45.0	3.0	0.479536235332489
46.0	3.0	0.4829676151275635
47.0	3.0	0.47659504413604736
48.0	3.0	0.4729185700416565
49.0	3.0	0.47095778584480286
50.0	3.0	0.467281311750412
51.0	3.0	0.0
52.0	3.0	0.6416302919387817
53.0	3.0	0.6590322256088257
54.0	3.0	0.6531499028205872
55.0	3.0	0.6332969665527344
56.0	3.0	0.5200616717338562
57.0	3.0	0.49040478467941284
58.0	3.0	0.4886890947818756
59.0	3.0	0.4938361644744873
60.0	3.0	0.5002087354660034
61.0	3.0	0.5009440183639526
62.0	3.0	0.4938361644744873
63.0	3.0	0.4894244074821472
64.0	3.0	0.48060086369514465
65.0	3.0	0.4874636232852936
66.0	3.0	0.47104203701019287
67.0	3.0	0.46834596991539
1.0	4.0	0.48218443989753723
2.0	4.0	0.4789981544017792
3.0	4.0	0.4865961968898773
4.0	4.0	0.48831188678741455
5.0	4.0	0.49909621477127075
6.0	4.0	0.5027726888656616
7.0	4.0	0.5054687261581421
8.0	4.0	0.513556957244873
9.0	4.0	0.5062040686607361
10.0	4.0	0.5047334432601929
11.0	4.0	0.5081648230552673
12.0	4.0	0.5079197287559509
13.0	4.0	0.5140472054481506
14.0	4.0	0.4973805248737335
15.0	4.0	0.49443933367729187
16.0	4.0	0.4900275766849518
17.0	4.0	0.0
18.0	4.0	0.4618527889251709
19.0	4.0	0.466264545917511
20.0	4.0	0.4611175060272217
21.0	4.0	0.4620978832244873
22.0	4.0	0.46454885601997375
23.0	4.0	0.4719018042087555
24.0	4.0	0.4677351415157318
25.0	4.0	0.4736174941062927
26.0	4.0	0.48048025369644165
27.0	4.0	0.48097044229507446
28.0	4.0	0.4780292510986328
29.0	4.0	0.47974494099617004
30.0	4.0	0.47925475239753723
31.0	4.0	0.4721468985080719
32.0	4.0	0.4682253301143646
33.0	4.0	0.46528416872024536
